Black Panther,96%,79%
Avengers: Infinity War,84%,92%
A Quiet Place,95%,85%
Ready Player One,74%,80%
Peter Rabbit,62%,60%
Fifty Shades Freed,13%,41%
A Wrinkle in Time,39%,31%
Rampage (2018),51%,81%
I Can Only Imagine,70%,93%
Game Night,82%,83%
Insidious: The Last Key,32%,57%
Pacific Rim Uprising,43%,47%
Maze Runner: The Death Cure,42%,63%
Tomb Raider,49%,63%
Blockers,83%,50%
Red Sparrow,47%,54%
12 Strong,54%,67%
Den of Thieves,41%,64%
Tyler Perry's Acrimony,24%,49%
Sherlock Gnomes,19%,39%
"Love, Simon",92%,91%
Paddington 2,100%,88%
Truth or Dare,15%,19%
I Feel Pretty,34%,30%
The Commuter,57%,42%
The 15:17 to Paris,25%,43%
Death Wish (2018),17%,80%
Annihilation,87%,67%
Isle Of Dogs,90%,88%
Super Troopers 2,34%,73%
Winchester,14%,38%
Strangers: Prey at Night,37%,44%
Proud Mary,28%,51%
"Paul, Apostle of Christ",42%,88%
Chappaquiddick,78%,73%
Forever My Girl,21%,88%
Overboard (2018),30%,78%
Padmaavat,71%,64%
The Miracle Season,46%,90%
Midnight Sun,17%,51%
Early Man,81%,55%
Traffik,21%,62%
Unsane,79%,62%
The Death of Stalin,96%,78%
The Hurricane Heist,46%,28%
Every Day (2018),63%,55%
God's Not Dead: A Light in Darkness,13%,58%
Gringo,41%,47%
Beirut,77%,58%
Samson,25%,66%
The Oscar Nominated Short Films 2018,null,null
7 Days in Entebbe,22%,45%
Tully (2018),88%,72%
Thoroughbreds,86%,75%
La Boda de Valentina,22%,29%
Bharat Ane Nenu,null,null
Sgt. Stubby: An American Hero,81%,97%
Mary and the Witch's Flower,87%,74%
A Fantastic Woman,94%,79%
Met Opera: Tosca,null,null
You Were Never Really Here,86%,69%
Detective Chinatown 2,54%,72%
Met Opera: La Bohème (2018),null,null
Bad Samaritan,56%,83%
Pad Man,100%,90%
Operation Red Sea,83%,84%
Baaghi 2,40%,54%
Met Opera: Cendrillon,null,null
Finding Your Feet,70%,52%
Met Opera: Semiramide,null,null
Met Opera: L'Elisir d'Amore (2018),null,null
Labyrinth (2018 Fathom Event),null,null
Raid (2018),71%,59%
The Insult,89%,92%
Lean on Pete,91%,83%
Pandas,100%,80%
Like Arrows,null,null
Kirk Cameron: Connect,null,null
The Dark Crystal (special re-release),null,null
The Party (2017),82%,63%
Monster Hunt 2,67%,58%
Disobedience,null,null
Foxtrot,96%,81%
The Rider,97%,80%
Loveless (2018),93%,83%
RBG,93%,88%
Bilal: A New Breed of Hero,55%,85%
102 Not Out,71%,100%
Condorito: La Pelicula,33%,54%
Itzhak,91%,86%
Final Portrait,73%,61%
Leaning Into The Wind,97%,73%
Oh Lucy!,100%,83%
Hichki,80%,63%
Flower,51%,41%
But Deliver Us from Evil,null,null
Kings (2018),13%,70%
Borg vs. McEnroe,83%,73%
Grace Jones: Bloodlight and Bami,85%,53%
Back to Burgundy,71%,56%
